#",,,",Alias,Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
,,10,912,10000,Retribuciones básicas.,789980.5,,,802848.62
,,10,912,15000,PRODUCTIVIDAD,140000.0,,,119576.74
,,10,912,16000,SEGURIDAD SOCIAL,139017.72,,,146572.86
,,10,912,22601,Atenciones protocolarias y representativas.,60526.0,,,8023.89
,,10,912,22606,"Reuniones, conferencias y cursos.",36000.0,,,4150.92
,,10,912,22699,Otros gastos diversos,45000.0,30000.0,,77460.49
,,10,912,22706,Estudios y trabajos técnicos.,24300.0,,,14520.0
,,10,912,22799,Otros trabajos realizados por otras empresas y profes.,9720.0,,,
,,10,912,23000,De los miembros de los órganos de gobierno.,36000.0,,,19004.55
,,10,912,23100,De los miembros de los órganos de gobierno.,31500.0,,,20838.87
,,10,912,48923,DOTACION ECONOMICA GRUPOS POLITICOS MUNICIPALES,56650.39,,,56650.32
,,10,912,83001,ANTICIPOS MIEMBROS CORPORACIÓN,1.0,,,
,,10,920,22605,RELACIONES PUBLICAS,111600.0,-42000.0,,45932.54
,,10,920,2260512,REM./12 RELACIONES PUBLICAS,,12995.4,,12995.4
,,10,922,48918,CUOTAS ASOCIACIONES MUNICIPIOS (FEMP...),75980.0,12000.0,,78912.59
,,20,011,31000,INTERESES,2038769.01,,,1984647.88
,,20,011,31001,PREVISIÓN INTERESES PTMO. FINANC. PPTO. EJERCICIO,78112.0,,,
,,20,011,31100,"GASTOS DE FORMALIZACION, MODIFICACION Y CANCELACION",,1.0,,28528.44
,,20,011,35200,INTERESES DE DEMORA,3000.0,,,106705.69
,,20,011,91300,AMORT.PREST.M-L PLAZO ENTES FUERA S.PUB.,11899772.03,,,11868411.17
,,20,130,12000,Sueldos del Grupo A1.,44031.96,,,26152.91
,,20,130,12001,Sueldos del Grupo A2.,25813.04,,,26117.24
,,20,130,12003,Sueldos del Grupo C1.,29654.52,,,30285.34
,,20,130,12004,Sueldos del Grupo C2.,83785.8,,,125180.95
,,20,130,12005,Sueldos del Grupo E.,7678.58,,,3906.64
,,20,130,12006,Trienios.,35191.4,,,28107.08
,,20,130,12100,Complemento de destino.,105810.04,,,96750.5
,,20,130,12101,Complemento específico.,171313.38,,,267459.01
,,20,130,13000,Retribuciones básicas.,9368.72,,,8032.08
,,20,130,13002,Otras remuneraciones.,8897.42,,,10234.06
,,20,130,16000,Seguridad Social.,149341.31,,,181119.6
,,20,132,12000,Sueldos del Grupo A1.,58709.28,,,59302.29
,,20,132,12001,Sueldos del Grupo A2.,235339.04,,,216072.01
,,20,132,12003,Sueldos del Grupo C1.,3469578.84,,,3283653.06
,,20,132,12006,Trienios.,635547.22,,,507100.16
,,20,132,12100,Complemento de destino.,1907013.64,,,1487715.66
,,20,132,12101,Complemento específico.,4777825.64,,,5160993.88
,,20,132,15102,GRATIFICACIONES PERS. FUNCIONARIO,105396.8,,,479815.55
,,20,132,16000,Seguridad Social.,3966246.51,,,3775154.96
,,20,134,12001,Sueldos del Grupo A2.,12906.52,,,26233.36
,,20,134,12003,Sueldos del Grupo C1.,9884.84,,,9787.05
,,20,134,12004,Sueldos del Grupo C2.,8378.58,,,6025.8
,,20,134,12006,Trienios.,5230.17,,,4693.92
,,20,134,12100,Complemento de destino.,18586.82,,,19261.77
,,20,134,12101,Complemento específico.,48913.48,,,64244.02
,,20,134,16000,Seguridad Social.,29141.28,,,38755.88
,,20,135,12000,Sueldos del Grupo A1.,29354.64,,,17724.52
,,20,135,12003,Sueldos del Grupo C1.,88963.56,,,81928.61
,,20,135,12004,Sueldos del Grupo C2.,745693.62,,,705216.16
,,20,135,12006,Trienios.,138966.68,,,103529.33
,,20,135,12100,Complemento de destino.,518845.04,,,401056.31
,,20,135,12101,Complemento específico.,1299040.82,,,1321358.09
,,20,135,15102,GRATIFICACIONES PERS. FUNCIONARIO,94000.0,,,217097.92
,,20,135,16000,Seguridad Social.,884539.04,,,1011757.37
,,20,151,12000,Sueldos del Grupo A1.,352255.68,,,332970.74
,,20,151,12001,Sueldos del Grupo A2.,129065.2,,,114489.11
,,20,151,12003,Sueldos del Grupo C1.,100354.66,,,104038.49
,,20,151,12004,Sueldos del Grupo C2.,210164.5,,,199448.7
,,20,151,12005,Sueldos del Grupo E.,7678.58,,,2397.82
,,20,151,12006,Trienios.,146101.24,,,104710.5
,,20,151,12100,Complemento de destino.,464565.22,,,364697.51
,,20,151,12101,Complemento específico.,779461.64,,,818571.06
,,20,151,13000,Retribuciones básicas.,25187.38,,,21925.86
,,20,151,13002,Otras remuneraciones.,24083.92,,,27257.23
,,20,151,16000,Seguridad Social.,618376.21,,,571811.09
,,20,152,12000,Sueldos del Grupo A1.,132095.77,,,99930.29
,,20,152,12001,Sueldos del Grupo A2.,73136.34,,,58595.71
,,20,152,12004,Sueldos del Grupo C2.,74010.8,,,62953.35
,,20,152,12006,Trienios.,32727.41,,,24345.32
,,20,152,12100,Complemento de destino.,150086.03,,,101753.88
,,20,152,12101,Complemento específico.,239400.71,,,222430.31
,,20,152,16000,Seguridad Social.,198509.32,,,154666.42
,,20,164,12000,Sueldos del Grupo A1.,14677.32,,,15150.9
,,20,164,12003,Sueldos del Grupo C1.,19769.68,,,20603.42
,,20,164,12004,Sueldos del Grupo C2.,27935.74,,,34615.65
,,20,164,12005,Sueldos del Grupo E.,122857.28,,,126844.63
,,20,164,12006,Trienios.,26794.2,,,24959.81
,,20,164,12100,Complemento de destino.,105377.72,,,93406.32
,,20,164,12101,Complemento específico.,202006.5,,,228797.19
,,20,164,16000,Seguridad Social.,151520.58,,,167342.35
,,20,165,12003,Sueldos del Grupo C1.,19769.68,,,10780.37
,,20,165,12004,Sueldos del Grupo C2.,58650.06,,,53053.09
,,20,165,12005,Sueldos del Grupo E.,7678.58,,,7840.22
,,20,165,12006,Trienios.,25504.15,,,17016.15
,,20,165,12100,Complemento de destino.,46471.88,,,31272.45
,,20,165,12101,Complemento específico.,61121.04,,,65285.26
,,20,165,16000,Seguridad Social.,91573.15,,,73904.88
,,20,170,12000,Sueldos del Grupo A1.,44031.96,,,44900.19
,,20,170,12001,Sueldos del Grupo A2.,64532.6,,,43819.81
,,20,170,12003,Sueldos del Grupo C1.,79078.72,,,73297.76
,,20,170,12004,Sueldos del Grupo C2.,75407.22,,,66848.04
,,20,170,12005,Sueldos del Grupo E.,15357.16,,,11975.85
,,20,170,12006,Trienios.,58902.21,,,40430.1
,,20,170,12100,Complemento de destino.,170292.08,,,122862.14
,,20,170,12101,Complemento específico.,326138.04,,,316001.08
,,20,170,16000,Seguridad Social.,240153.98,,,199878.16
,,20,171,12001,Sueldos del Grupo A2.,25813.04,,,13261.42
,,20,171,12004,Sueldos del Grupo C2.,25135.74,,,20399.13
,,20,171,12005,Sueldos del Grupo E.,7678.58,,,
,,20,171,12006,Trienios.,14670.69,,,7554.0
,,20,171,12100,Complemento de destino.,32613.0,,,15613.05
,,20,171,12101,Complemento específico.,57945.64,,,40333.06
,,20,171,16000,Seguridad Social.,51962.25,,,29452.52
,,20,211,10701,Del personal directivo.,1.0,,,
,,20,211,12700,APORTACIÓN MUNICIPAL AL PLAN DE PENSIONES,1.0,,,
,,20,211,13700,APORTACIÓN MUNICIPAL AL PLAN DE PENSIONES,1.0,,,
,,20,221,16007,ASISTENCIA PREVENTIVA COR,389460.41,,,389460.41
,,20,221,16008,Asistencia médico-farmacéutica.,66053.0,,,54743.34
,,20,221,16205,Seguros.,40186.59,,,39545.94
,,20,221,16501,AYUDAS SOCIALES,442170.0,,,442143.73
,,20,230,12000,Sueldos del Grupo A1.,205482.48,22945.66,,210397.44
,,20,230,12001,Sueldos del Grupo A2.,722765.12,86020.7,,810924.65
,,20,230,12003,Sueldos del Grupo C1.,49424.2,,,50331.79
,,20,230,12004,Sueldos del Grupo C2.,159193.02,,,184073.1
,,20,230,12005,Sueldos del Grupo E.,15357.16,,,27931.53
,,20,230,12006,Trienios.,200315.44,22719.68,,164006.65
,,20,230,12100,Complemento de destino.,603777.16,69414.13,,549230.37
,,20,230,12101,Complemento específico.,1162942.76,133485.13,,1553231.28
,,20,230,16000,Seguridad Social.,871228.49,101010.7,,1013705.68
,,20,231,22746,CONTRATOS ASISTENCIA EN PLANIFICACIÓN Y CONTROL,44317.74,,,10687.58
,,20,232,12000,Sueldos del Grupo A1.,29354.64,28706.74,,46800.64
,,20,232,12001,Sueldos del Grupo A2.,64532.6,18445.12,,61195.03
,,20,232,12003,Sueldos del Grupo C1.,9884.84,,,4862.87
,,20,232,12004,Sueldos del Grupo C2.,8378.58,2414.22,,9408.36
,,20,232,12005,Sueldos del Grupo E.,53750.06,17700.18,,36535.75
,,20,232,12006,Trienios.,14559.42,5001.58,,11399.48
,,20,232,12100,Complemento de destino.,88990.86,32291.93,,72231.81
,,20,232,12101,Complemento específico.,177097.62,68519.24,,170640.58
,,20,232,16000,Seguridad Social.,120194.27,50987.95,,119238.4
,,20,241,12000,Sueldos del Grupo A1.,117418.56,2627.95,,123102.38
,,20,241,12001,Sueldos del Grupo A2.,144122.76,18809.51,,139751.43
,,20,241,12003,Sueldos del Grupo C1.,41045.62,,,32586.86
,,20,241,12004,Sueldos del Grupo C2.,46786.74,6551.08,,48450.05
,,20,241,12005,Sueldos del Grupo E.,15357.16,,,7813.28
,,20,241,12006,Trienios.,43675.41,473.05,,37931.54
,,20,241,12100,Complemento de destino.,195556.48,9876.55,,177028.87
,,20,241,12101,Complemento específico.,308962.77,20302.08,,308750.77
,,20,241,13101,RETRIB. PERSONAL FOMENTO EMPLEO (TEMPOR. Y DISCONTINUOS),117838.11,329767.2,,435466.73
,,20,241,16000,Seguridad Social.,287339.1,91458.98,,325713.75
,,20,320,12000,Sueldos del Grupo A1.,14677.32,,,15045.66
,,20,320,12001,Sueldos del Grupo A2.,77439.12,,,67170.74
,,20,320,12003,Sueldos del Grupo C1.,11391.1,,,10112.14
,,20,320,12004,Sueldos del Grupo C2.,33514.32,,,33602.55
,,20,320,12005,Sueldos del Grupo E.,245714.56,,,238676.71
,,20,320,12006,Trienios.,49375.19,,,36500.71
,,20,320,12100,Complemento de destino.,350024.24,,,175887.27
,,20,320,12101,Complemento específico.,434600.48,,,467347.08
,,20,320,13000,Retribuciones básicas.,9752.96,,,8011.36
,,20,320,13002,Otras remuneraciones.,12723.9,,,14465.49
,,20,320,16000,Seguridad Social.,315798.85,,,303264.99
,,20,330,12000,Sueldos del Grupo A1.,14677.32,,,37109.91
,,20,330,12001,Sueldos del Grupo A2.,25813.04,,,39017.6
,,20,330,12003,Sueldos del Grupo C1.,19769.68,,,31339.35
,,20,330,12004,Sueldos del Grupo C2.,16757.16,,,21607.82
,,20,330,12005,Sueldos del Grupo E.,61428.64,,,58894.9
,,20,330,12006,Trienios.,32036.96,,,34515.11
,,20,330,12100,Complemento de destino.,74068.96,,,90207.82
,,20,330,12101,Complemento específico.,131635.08,,,222382.14
,,20,330,13000,Retribuciones básicas.,12774.28,,,589.31
,,20,330,13002,Otras remuneraciones.,23794.68,,,1340.72
,,20,330,16000,Seguridad Social.,118312.45,,,143683.82
,,20,331,12000,Sueldos del Grupo A1.,117418.56,1732.76,,119595.19
,,20,331,12001,Sueldos del Grupo A2.,103252.16,382.25,,99287.13
,,20,331,12003,Sueldos del Grupo C1.,79078.72,452.1,,77455.21
,,20,331,12004,Sueldos del Grupo C2.,95664.38,435.08,,84917.33
,,20,331,12005,Sueldos del Grupo E.,30714.32,,,31413.79
,,20,331,12006,Trienios.,79203.31,555.65,,63853.22
,,20,331,12100,Complemento de destino.,244095.18,1552.23,,197173.07
,,20,331,12101,Complemento específico.,561114.82,3803.1,,596229.35
,,20,331,13000,Retribuciones básicas.,9129.36,,,7835.4
,,20,331,13002,Otras remuneraciones.,16545.06,,,17839.02
,,20,331,16000,Seguridad Social.,365796.77,2014.92,,341319.35
,,20,332,12000,Sueldos del Grupo A1.,29354.64,,,34400.65
,,20,332,12001,Sueldos del Grupo A2.,167784.76,,,167452.06
,,20,332,12003,Sueldos del Grupo C1.,138387.76,,,130730.3
,,20,332,12004,Sueldos del Grupo C2.,83785.8,,,75821.26
,,20,332,12006,Trienios.,65721.55,,,52254.97
,,20,332,12100,Complemento de destino.,222447.68,,,179153.89
,,20,332,12101,Complemento específico.,422585.76,,,503231.31
