#numero,fecha,importe,tercero,beneficiario,descripcion,programa
F/2017/1 ,2017-01-02,232.32,*,[Anonimizado]*,"IMPUTAR AO ORZAMENTO VIXENTE, A FATURA 299 IMPRESION DE FOTOGRAFIAS PARA EXPO. ""MEXILLON DE GALICIA"" ",3331 - DIVULGACIÓN CIENTÍFICA Y TÉCNICA 
F/2017/2 ,2017-01-02,1500.0,*,[Anonimizado]*,"IMPUTACION FRA.Nº 3 AO EXERCICIO 2017, INTERVENCION EXPONTANEAS HABITAT 21-23 DICIEMBRE 2016 ",334 - PROMOCIÓN CULTURAL. 
F/2017/3 ,2017-01-02,1500.0,*,[Anonimizado]*,"IMPUTACION FRA.Nº 07/2016 AO EXERCICO 2017, INTERVENCION EXPONTANEAS ""INSATURA"" DO 17-27 DECEMBRO 2016 ",334 - PROMOCIÓN CULTURAL. 
F/2017/4 ,2017-01-02,1500.0,*,[Anonimizado]*,"IMPUTACION FRA.Nº 2016/24 AO EXERCICIO 2017, INTERVENCION EXPONTANEAS 55 DECIBELIOS 20-22 DECEMBRO 2016 ",334 - PROMOCIÓN CULTURAL. 
F/2017/6 ,2017-01-02,2465.66,*,[Anonimizado]*,"IMPUTACION FRA.Nº 2016_38 AO EXERCICIO 2017, COORDINACION DE INTERVENCIONS EXPONTANEAS DO 9 AO 29 DECEMBRO 2016 ",334 - PROMOCIÓN CULTURAL. 
F/2017/7 ,2017-01-02,85.79,*,[Anonimizado]*,FAC. 16-15 SUMINISTRO DE ARENA E CEMENTO  08/01/16 ,170 - ADMINISTRACIÓN GENERAL DEL MEDIO AMBIENTE. 
F/2017/8 ,2017-01-02,77.34,*,[Anonimizado]*,FAC. 16-159 TRABALLOS DE REPARACIÓN POZO FECAIS. MANTEMENTO EIDIFICIO ,3331 - DIVULGACIÓN CIENTÍFICA Y TÉCNICA 
F/2017/9 ,2017-01-02,21.54,*,[Anonimizado]*,FAC. 16-302 SUMINISTRO CEMENTO 13/05/16 ,170 - ADMINISTRACIÓN GENERAL DEL MEDIO AMBIENTE. 
F/2017/10 ,2017-01-02,10.89,*,[Anonimizado]*,FAC. 16-228 SUMINISTRO CEMENTO 08/04/16 ,170 - ADMINISTRACIÓN GENERAL DEL MEDIO AMBIENTE. 
F/2017/11 ,2017-01-02,3.63,*,[Anonimizado]*,FAC. 16-457 SUMINISTRO CEMENTO  04/07/16 ,170 - ADMINISTRACIÓN GENERAL DEL MEDIO AMBIENTE. 
F/2017/12 ,2017-01-02,25.17,*,[Anonimizado]*,FAC. 16-765 SUMINISTRO DE CEMENTO NOVEMBRO 16 ,170 - ADMINISTRACIÓN GENERAL DEL MEDIO AMBIENTE. 
F/2017/13 ,2017-01-02,46.24,*,[Anonimizado]*,FAC. 2016/0230 SUBMINISTRACION DE PRODUTOS FARMACEUTICOS PARA A CASA DE ACOLLIDA ,231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/14 ,2017-01-02,5650.08,*,[Anonimizado]*,"FAC. 04-16 SERVIZO DE MANTEMENTO DOS RELOXOS MUNICIPAIS, 4º TRIMESTRE/16 ",920 - ADMINISTRACIÓN GENERAL . 
F/2017/15 ,2017-01-02,119.0,G15074743,INSTITUCION BENEFICO SOCIAL PADRE RUBINOS,"IMPUTACION DA FRA. 26/16 AO EXERCICIO 2017, DECEMBRO 2016, PROGRAMA AXUDA PAGO ESCOLAS INFANTIS ""PADRE RUBINOS"" ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/16 ,2017-01-02,63775.0,G15074743,INSTITUCION BENEFICO SOCIAL PADRE RUBINOS,"IMPUTACION DA FRA. 28/2016 AO EXERCICIO 2017, 4º TRIMESTRE 2016, SERVIZO ATENCION PRIMARIA A PERSOAS INDIXENTES ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/17 ,2017-01-02,117.87,G15028855,ASPRONAGA,"IMPUTACION DA FRA. C/08/2016 AO EXERCICIO 2017, DECEMBRO 2016, PROGRAMA BOLSAS COMEDOR CEE NTRA. SRA. DE LOURDES ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/18 ,2017-01-02,617.54,*,[Anonimizado]*,"IMPUTACION FRA.Nº 605 AO EXERCICIO 2017, SUBMINISTRO DE PRENSA PARA BIBLIOTECA MONTE ALTO DECEMBRO 2016 ",3321 - BIBLIOTECAS PÚBLICAS 
F/2017/19 ,2017-01-02,1331.0,G15047095,REAL SOCIEDAD DEPORTIVA HIPICA DE LA CORUÑA,FAC. B000171 ESTANZA A PONYS DECEMBRO 16 ,311 - PROTECCIÓN DE LA SALUBRIDAD PÚBLICA 
F/2017/21 ,2017-01-02,3508.33,F70418439,REXENERANDO SOCIEDADE COOPERATIVA GALEGA,"FAC. 063 PROCESO PARTICIPATIVO PARA ARTELLAR PACTO CIDADE LIBRE DE VIOLENCIAS MACHISTAS, DECEMBRO 2016 ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/22 ,2017-01-02,453.75,J70307699,THOR SC,"IMPUTAR A ORZAMENTO PRORROGADO SEGÚN BASE 5ª II, FAC. 001/2017-M MANTEMENTO PARARRAIOS 4ºTRIMESTRE/16. ",323 - FUNCIONAMIENTO DE CENTROS DE ENSEÑANZA PREESCOLAR Y PRIMARIA 
F/2017/23 ,2017-01-02,60.5,*,[Anonimizado]*,Fact. 2471 Suministro de sellos de caucho para la Alcaldía ,920 - ADMINISTRACIÓN GENERAL . 
F/2017/24 ,2017-01-03,453.15,A28791069,KONE ELEVADORES SA,IMPUTACIÓN AO EXERCICIO 2017 DA FRA 0951561370 MANTEMENTO ASCENSORES POLIDEPORTIVOS RIAZOR- ROSALES (01/12/16-31/12/16) ,342 - INSTALACIONES DEPORTIVAS. 
F/2017/25 ,2017-01-03,17755.71,A61797536,GAS NATURAL COMERCIALIZADORA SA,"FACTURA NÚMERO PI16142000614626, SUMINISTRO ENERGÍA ELÉCTRICA EN LOTE 1, DEPENDENICAS, DICIEMBRE 2016 ",165 - ALUMBRADO PÚBLICO. 
F/2017/26 ,2017-01-03,1200.05,B70492541,VIVA DELICATESSEN SL,"IMPUTACION DA FRA. 01 355 AO EXERCICIO 2017, DECEMBRO 2016, PROGRAMA BOLSAS COMEDOR CEIP SANJURJO DE CARRICARTE ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/27 ,2017-01-03,11385.64,B15166960,ESCOLA INFANTIL OS CATIVOS SL,FRA. Emit- 53: APORTACION EIM OS CATIVOS XANEIRO 2017. ,323 - FUNCIONAMIENTO DE CENTROS DE ENSEÑANZA PREESCOLAR Y PRIMARIA 
F/2017/28 ,2017-01-03,1241.67,A15044043,MANTENIMIENTOS GALLEGOS SA,"IMPUTACION DA FRA. 2016//1722 AO EXERCICIO 2017, DECEMBRO 2016, MANTEMENTO CLIMATIZACION CENTROS CIVICOS MUNICIPAIS ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/30 ,2017-01-03,423.5,B15343106,LISERGA S L,FRA.Nº 1388 SERIE 16- DECEMBRO/2016 LIMPEZA DAS DEPENDENCIAS DA OMIC ,493 - PROTECCIÓN DE CONSUMIDORES Y USUARIOS 
F/2017/31 ,2017-01-03,18343.6,A79495503,SOLDENE SA,"IMPUTACION FRA.Nº 2016-F 612183 AO EXERCICIO 2017, SERVIZO DE LIMPEZA NAS BIBLIOTECAS MUNICIPAIS DECEMBRO 2016 ",3321 - BIBLIOTECAS PÚBLICAS 
F/2017/32 ,2017-01-03,10345.48,B70425160,PEQUENAS AMIZADES SL,FRA. 2017 1: APORTACION EIM AGRA XANEIRO 2017. ,323 - FUNCIONAMIENTO DE CENTROS DE ENSEÑANZA PREESCOLAR Y PRIMARIA 
F/2017/33 ,2017-01-03,4033.33,B15034382,AUXILIAR DE CONSTRUCCION CORUÑESA S L,"FRA. Emit- 263 ARRENDAMENTO DE NAVE PARA ARQUIVO DE TRANSFERENCIAS, DECEMBRO 2016 ",920 - ADMINISTRACIÓN GENERAL . 
F/2017/34 ,2017-01-03,360.0,B70425160,PEQUENAS AMIZADES SL,"IMPUTACION DA FRA. 2017 2 AO EXERCICIO 2017, DECEMBRO 2016, PROGRAMA AXUDA PAGO ESCOLAS INFANTIS ""AGRA DEL ORZAN"" ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/36 ,2017-01-03,16124.27,B15688534,ESCUELA INFANTIL CARRICANTA SL,FRA. Emit- 5: APORTACION EIM CARRICANTA XANEIRO 2017. ,323 - FUNCIONAMIENTO DE CENTROS DE ENSEÑANZA PREESCOLAR Y PRIMARIA 
F/2017/37 ,2017-01-03,3111.3,B15397078,MAGA LIMPIEZAS SL,"IMPUTACION DA FRA. 2016//2171 AO EXERCICIO 2017, DECEMBRO 2016, SERVIZO DE LIMPEZA CENTRO CIVICO EIRIS E MESOIRO ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/38 ,2017-01-03,13108.33,A48138390,PROTECCION Y SEGURIDAD TECNICA SA,"FAC. Emit- 1645094, SERVICIO DE VIGILANCIA DE LA ESTACIÓN DE AUTOBUSES, DICIEMBRE 2016 ",440 - ADMINISTRACIÓN GENERAL DEL TRANSPORTE. 
F/2017/39 ,2017-01-03,1431.7,B15397078,MAGA LIMPIEZAS SL,FRA. Nº 2016/2170. DECEMBRO 2016. LIMPEZA OFICINAS CEMITERIOS ,164 - CEMENTERIO Y SERVICIOS FUNERARIOS. 
F/2017/42 ,2017-01-03,1165.05,B15342512,AUTOMOVILES LORGA SL,"FAC. Emit- 24, RENTING VEHÍCULO TODOTERRENO, MATRÍCULA: 3596 HVV, POLICÍA LOCAL, DICIEMBRE 2016 ",132 - SEGURIDAD Y ORDEN PÚBLICO. 
F/2017/43 ,2017-01-03,1754.5,B15490550,LIMPIEZAS BLANCOMAR SL,Rect. Emit- 82 / LIMPIEZA DICIEMBRE 16 VIVIENDAS NTRA SRA DEL CARMEN CENTRO GESTOR 30.10.00 ,1522 - CONSERVACIÓN Y REHABILITACIÓN DE LA EDIFICACIÓN 
