#,Alias,Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
,,10000,SOBRE LA RENTA,5478179.46,0,5478179.46,6039114.47
,,11200,DE NATURALEZA RUSTICA,1600,0,1600,922.84
,,11300,DE NATURALEZA URBANA,54650000,0,54650000,57453680.35
,,11400,BIENES INMUEBLES DE CARACTERÍSTICA ESPECIALES,2450000,0,2450000,2309457.82
,,11500,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,12250000,0,12250000,11919036.31
,,11600,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBANA,4350000,0,4350000,4744579.25
,,13000,IMPUESTO SOBRE ACTIVIDADES ECONÓMICAS,12220000,0,12220000,11614221.84
,,18000,IMPUESTOS DIRECTOS EXTINGUIDOS,1,0,1,0
,,21000,SOBRE EL VALOR AÑADIDO,3259075.73,0,3259075.73,3855285.99
,,22000,Impuesto sobre el alcohol y bebidas derivadas.,48428.54,0,48428.54,49383
,,22001,Impuesto sobre la cerveza.,16300,0,16300,17391.49
,,22003,Impuesto sobre las labores del tabaco.,452290,0,452290,327139.58
,,22004,Impuesto sobre hidrocarburos.,680332.57,0,680332.57,614826.6
,,22006,Impuesto sobre productos intermedios.,1250,0,1250,1098.85
,,29000,"IP.SOBRE CONSTRUC., INSTALAC. Y OBRAS",5200000,0,5200000,3804286.74
,,30100,SERV. ALCANTARILLADO Y DEPURACIÓN AGUAS,2975000,0,2975000,2944630.36
,,30201,RECOGIDA DE BASURA EN VIVIENDAS,5550000,0,5550000,8652245.5
,,30202,R.BASURAS ACTIV. EMPRESARIALES Y PROFESIONALES,2535000,0,2535000,2515210.05
,,30300,SERVICIO TRATAMIENTO RESIDUOS,3275000,0,3275000,1178843.98
,,30901,SERVICIOS FÚNEBRES Y DE CEMENTERIOS,855000,0,855000,963524.46
,,30902,EXTINCIÓN DE INCEDIOS Y SALVAMENTOS,85000,0,85000,48797.31
,,30903,ING.RECARGO MUNICIPAL S/CONSUMO DE AGUA,1,0,1,0
,,31102,TASA SERVICIOS SANIDAD PREVENTIVA,15000,0,15000,4362.93
,,31104,SERVICIO DE AYUDA A DOMICILIO,555000,0,555000,432745.46
,,31300,UTILIZACION INSTALAC.DEPORTIVAS MPLES.,247155,0,247155,199569.03
,,31901,UTILIZACION INSTALACIONES CASA CIENCIAS,124630,0,124630,86423
,,31902,UTILIZACION INSTALACIONES M.ARQUEOLOGICO,85000,0,85000,51432
,,31903,UTILIZACION INSTALACIONES DE LA DOMUS,188490,0,188490,119923.91
,,31904,UTILIZACION INSTALACIONES DEL AQUARIUM,1100000,0,1100000,807853
,,32100,LICENCIAS URBANÍSTICAS,2500000,0,2500000,651277.28
,,32200,CEDULAS DE HABITABILIDAD Y LICENCIAS DE PRIMERA OCUPACIÓN,1110000,0,1110000,321315.72
,,32301,LICENCIAS DE APERTURAS,400000,0,400000,247517.9
,,32500,TRAMITACIÓN Y EXPEDICIÓN DE DOCUMENTOS,550000,0,550000,498118.79
,,32600,"RET., TRASLAD. Y DEPÓS. VEHICULOS",1250000,277634.82,1527634.82,920744.79
,,32901,SERV.ESPEC. VIGILANCIA  ESPECTÁCULOS Y TRANSPORTES,17541.27,0,17541.27,12036.78
,,32902,LICENCIAS UTILIZACION SERV.URBANOS DE TRANSPORTE,85000,0,85000,102495.2
,,32904,MERCADOS MUNICIPALES,515000,0,515000,389695.05
,,32905,ESTACION DE AUTOBUSES,396550,0,396550,0
,,32906,INDUSTRIAS CALLEJERAS Y AMBULANTES,68000,0,68000,43946.16
,,33000,TASA DE ESTACIONAMIENTO DE VEHICULOS,2263833.09,1150427.99,3414261.08,3284469.86
,,33100,TASA POR ENTRADA DE VEHICULOS,2400000,0,2400000,2097950.93
,,33200,UTILIZAC.PRIVATIVA O APROV.ESP.POR EMP.DE SERV.DE SUMINIST,3650000,0,3650000,5232929.58
,,33300,UTILIZ.PRIVAT.O APROV.ESPEC.POR EMP.SERV.TELECOMUNICACIONES,1150655.03,0,1150655.03,716509.56
,,33400,TASA POR APERTURA DE CALAS Y ZANJAS,50470,0,50470,18086.92
,,33500,TASA POR OCUPACION DE LA VIA PUBLICA CON TERRAZA,265000,0,265000,158451.64
