#",,,",Alias,Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
,,10,912,10000,Retribuciones básicas.,847139.6,,847139.6,820128.29
,,10,912,15000,PRODUCTIVIDAD,105000.0,,105000.0,103047.04
,,10,912,16000,SEGURIDAD SOCIAL,157248.5,,157248.5,161576.61
,,10,912,22601,Atenciones protocolarias y representativas.,60526.0,-15000.0,45526.0,12413.86
,,10,912,22606,"Reuniones, conferencias y cursos.",36000.0,-9000.0,27000.0,
,,10,912,22699,Otros gastos diversos,45000.0,,45000.0,20024.82
,,10,912,22706,Estudios y trabajos técnicos.,24300.0,,24300.0,
,,10,912,22799,Otros trabajos realizados por otras empresas y profes.,9720.0,,9720.0,
,,10,912,23000,De los miembros de los órganos de gobierno.,36000.0,,36000.0,21794.23
,,10,912,23100,De los miembros de los órganos de gobierno.,31500.0,,31500.0,13765.97
,,10,912,48923,DOTACION ECONOMICA GRUPOS POLITICOS MUNICIPALES,56650.39,,56650.39,56650.32
,,10,912,83001,ANTICIPOS MIEMBROS CORPORACIÓN,1.0,,1.0,
,,10,920,22605,RELACIONES PUBLICAS,111600.0,-20000.0,91600.0,36372.5
,,10,922,48918,CUOTAS ASOCIACIONES MUNICIPIOS (FEMP...),87980.0,,87980.0,78890.65
,,20,011,31000,INTERESES,2545687.46,,2545687.46,2601637.07
,,20,011,31001,PREVISIÓN INTERESES PTMO. FINANC. PPTO. EJERCICIO,69999.0,,69999.0,
,,20,011,31100,"GASTOS DE FORMALIZACION, MODIFICACION Y CANCELACION",1.0,971.56,972.56,971.56
,,20,011,35200,INTERESES DE DEMORA,3000.0,,3000.0,
,,20,011,35901,GASTOS FINANCIEROS PARQUE OFIMATICO,198900.0,,198900.0,
,,20,011,91300,AMORT.PREST.M-L PLAZO ENTES FUERA S.PUB.,11851302.32,,11851302.32,11697286.52
,,20,130,12000,Sueldos del Grupo A1.,44031.96,,44031.96,31596.23
,,20,130,12001,Sueldos del Grupo A2.,25813.04,,25813.04,26142.59
,,20,130,12003,Sueldos del Grupo C1.,29654.52,,29654.52,28988.03
